,COURSE_NAME,COURSE_YEAR,COURSE_SEMESTER,FOLDER_NAME,FOLDER_URL
1844,83335 - מבוא להנדסת חשמל - תשעט,2018,Semester 1,2018-19 -> 83335 INTRODUCTION TO ELECTRICAL ENGINEERING,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%229be0eda1-5a14-464a-9a57-abe400c1d5ab%22
1874,83335 - מבוא להנדסת חשמל - תשעח,2017,Semester 1,,
1921,57121 חשבון תשפ,2019,Semester 1,2019-20 -> 57121 MATH FOR ECONOMISTS A1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22685da48a-b1be-4dfb-b5d9-aadf008d05d0%22
1933,57121 חשבון דיפרנ עט,2018,Semester 1,2018-19 -> 57121 MATH FOR ECONOMISTS A1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22b2e2dfef-ab94-45ff-9a22-abe400a051cb%22
1934,58110 מבוא ליחבל תשפ,2019,Semester 1,2019-20 -> 58110 INTRODUCTION TO INTERNATIONAL RELATIONS - Part 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22b8b648d9-4c41-435e-8af0-aadf008e6d88%22
1936,69300 כימיה כמשחק תשפ,2019,Semester 1,2019-20 -> 69300 THE CHEMISTRY AS A GAME OF LEGO,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%223d69f336-f10b-46d0-b2b7-aadf008f9416%22
1937,69922 - מבוא לספקטרוסקופיה - תשף - תרג,2019,Semester 1,2019-20 -> 69922 INTRODUCTION TO SPECTROSCOPY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22bbd367af-6651-453b-8732-aadf0090714a%22
1947,69922 - מבוא לספקטרוסקופיה - תשף - שעור א,2019,Semester 1,2019-20 -> 69922 INTRODUCTION TO SPECTROSCOPY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22bbd367af-6651-453b-8732-aadf0090714a%22
1985,69922 - מבוא לספקטרוסקופיה - תשעט,2018,Semester 1,2018-19 -> 69922 INTRODUCTION TO SPECTROSCOPY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22219eb832-1c05-481b-b6f9-abe400b4e497%22
2062,69922 - מבוא לספקטרוסקופיה - תשעח,2017,Semester 1,,
